zircon_sample,rock_sample,pluton,age_Ma,e_Hf_t,e_Hf_t_error
WB13-07-11,WB13-07,Crawfish Inlet,50.3,6.464870045,1.712459706
WB13-07-09,WB13-07,Crawfish Inlet,50.7,6.845998472,1.629853445
WB13-07-04,WB13-07,Crawfish Inlet,50.9,8.564044265,1.325223135
WB13-07-12,WB13-07,Crawfish Inlet,50.9,9.450123393,0.910381209
WB13-07-13,WB13-07,Crawfish Inlet,51.1,9.459607779,1.077475434
WB13-07-05,WB13-07,Crawfish Inlet,52.2,9.835810804,1.275866209
WB13-07-06,WB13-07,Crawfish Inlet,52.6,8.859128037,1.015974131
WB13-11-2,WB13-11,Crawfish Inlet,48.3,6.604692099,0.948656875
WB13-11-10,WB13-11,Crawfish Inlet,51.5,7.793908026,1.395568551
WB13-11-4,WB13-11,Crawfish Inlet,51.6,9.087217803,1.395987
WB13-11-8,WB13-11,Crawfish Inlet,51.7,10.08268277,1.465429474
WB13-11-5,WB13-11,Crawfish Inlet,52.1,8.637588911,0.966298751
WB13-14-26,WB13-14,Crawfish Inlet,45.6,13.73088924,1.461092847
WB13-14-22,WB13-14,Crawfish Inlet,46.2,15.43360465,1.201682995
WB13-14-24,WB13-14,Crawfish Inlet,46.7,13.09439392,1.155474189
WB13-14-20,WB13-14,Crawfish Inlet,46.8,12.24734245,1.268666834
WB13-14-16,WB13-14,Crawfish Inlet,46.9,15.02121841,1.334124161
WB13-14-15,WB13-14,Crawfish Inlet,47.1,16.16585163,1.56341953
WB13-14-07,WB13-14,Crawfish Inlet,47.2,13.31634423,1.21057169
WB13-14-09,WB13-14,Crawfish Inlet,47.2,12.84923425,1.244792967
WB13-14-03,WB13-14,Crawfish Inlet,47.4,11.87250371,1.623887222
WB13-14-04,WB13-14,Crawfish Inlet,47.4,18.16302033,1.519317857
WB13-14-05,WB13-14,Crawfish Inlet,47.4,12.45961825,1.414646652
WB13-14-17,WB13-14,Crawfish Inlet,47.4,12.79468181,1.239091079
WB13-14-21,WB13-14,Crawfish Inlet,47.7,15.04548868,1.393588003
WB13-14-02,WB13-14,Crawfish Inlet,47.8,12.17647447,1.071125519
WB13-14-06,WB13-14,Crawfish Inlet,48.3,13.8226679,1.19258956
WB13-18-04,WB13-18,Crawfish Inlet,51.2,2.902930868,1.030749569
WB13-18-03,WB13-18,Crawfish Inlet,51.8,7.671713777,1.476229994
WB13-18-18,WB13-18,Crawfish Inlet,52.4,3.997762247,1.151822702
WB13-18-21,WB13-18,Crawfish Inlet,52.4,3.390137484,1.453038965
WB13-18-02,WB13-18,Crawfish Inlet,52.7,6.1136716,1.357288222
WB13-18-16,WB13-18,Crawfish Inlet,52.7,5.146848085,1.083211538
WB13-18-30,WB13-18,Crawfish Inlet,52.7,5.173146179,1.728830777
WB13-18-26,WB13-18,Crawfish Inlet,53,3.095706343,1.198305195
WB13-18-10,WB13-18,Crawfish Inlet,53.1,6.216916936,1.457539451
WB13-18-24,WB13-18,Crawfish Inlet,53.4,8.07442328,1.804390947
WB13-18-07,WB13-18,Crawfish Inlet,53.5,6.598106978,1.60843612
WB13-18-19,WB13-18,Crawfish Inlet,53.7,4.531228427,1.619329222
WB13-18-13,WB13-18,Crawfish Inlet,53.8,4.187673628,0.969035615
WB13-18-08,WB13-18,Crawfish Inlet,54,0.785834727,1.534642558
WB13-18-11,WB13-18,Crawfish Inlet,54.5,6.202554759,1.371013169
