sample,location_reference,distance_from_Sanak_km,SiO2_percent,Sr_ppm,Y_ppm,Sr_Y
92ASG-13,"Seldovia dikes (Lytwyn et al., 2000)",920,71.98,517,10,51.7
92ATI320A,"Seldovia dikes (Bradley et al., 2003)",920,72.1,200,7,28.57142857
92ATI321B,"Seldovia dikes (Bradley et al., 2003)",920,72.4,180,7,25.71428571
89ADW-154A,"Seldovia dikes (Lytwyn et al., 2000)",920,72.67,166,21,7.904761905
89ADW-145A,"Seldovia dikes (Lytwyn et al., 2000)",920,72.83,809,1.9,425.7894737
92PH398B,"Seldovia dikes (Bradley et al., 2003)",920,73.4,150,15,10
92AKU201A,"Seldovia dikes (Bradley et al., 2003)",920,73.9,430,6,71.66666667
91ADW5A,"Seldovia dikes (Bradley et al., 2003)",920,74.1,,2,
90ADW-419A,"Seldovia dikes (Lytwyn et al., 2000)",920,74.75,293,4.2,69.76190476
92ADW211D,"Seldovia dikes (Bradley et al., 2003)",920,76.2,210,12,17.5
90ADW403A,"Seldovia dikes (Bradley et al., 2003)",920,76.9,180,3,60
92ATI104A,"Seldovia dikes (Bradley et al., 2003)",920,78.1,190,10,19
90ADW-403A,"Seldovia dikes (Lytwyn et al., 2000)",920,78.73,177,3,59
RB13-04,Aialik pluton (This study),1010,73.1193512,157.5736371,29.58817465,5.325561274
RB13-03,Hive Is. (This study),1040,71.95020714,205,27,7.592592593
RP86B-408B,"Resurrection ophiolite (Lytwyn et al., 1997)",1050,54.17,177,30,5.9
RP86B-361B,"Resurrection ophiolite (Lytwyn et al., 1997)",1050,55.71,163,46,3.543478261
K-35,"Knight Island ophiolite (Lytwyn et al., 1997)",1150,53.83,118,53,2.226415094
K-19,"Knight Island ophiolite (Lytwyn et al., 1997)",1150,53.84,95,29,3.275862069
K-2,"Knight Island ophiolite (Lytwyn et al., 1997)",1150,53.94,78,27,2.888888889
BC-8,"Sheep Bay (Barker et al., 1992)",1290,66.27,240,23,10.43478261
BC-6,"Sheep Bay (Barker et al., 1992)",1290,67.66,250,26,9.615384615
BC-9,"Sheep Bay (Barker et al., 1992)",1290,68.74,230,25,9.2
BC-5,"Sheep Bay (Barker et al., 1992)",1290,69.26,210,22,9.545454545
BC-7,"Sheep Bay (Barker et al., 1992)",1290,71.3,190,30,6.333333333
CV14-08c,Sheep Bay (This study),1290,76.69866943,111,24.5,4.530612245
BC-1,"Rude River (Barker et al., 1992)",1320,69.83,270,33,8.181818182
BC-2,"Rude River (Barker et al., 1992)",1320,70.61,245,26,9.423076923
BC-11,"McKinley Peak (Barker et al., 1992)",1360,66.62,195,34,5.735294118
BC-10,"McKinley Peak (Barker et al., 1992)",1360,68.4,205,26,7.884615385
BC-12,"McKinley Peak (Barker et al., 1992)",1360,69.48,175,40,4.375
BC-3,"McKinley Peak (Barker et al., 1992)",1360,69.63,170,35,4.857142857
BC-13,"McKinley Peak (Barker et al., 1992)",1360,69.69,215,37,5.810810811
APR-140,"Dacitic dike (Barker et al., 1992)",1360,71.59,255,3,85
CV14-07,McKinley Peak (This study),1360,73.52117633,189,27.2,6.948529412
91AHa3,"Wernicke (Sisson et al., 2003b)",1410,60.99,283,16,17.6875
91AHa6b,"Wernicke (Sisson et al., 2003b)",1410,64.8,201,16,12.5625
94APo49,"Van Cleve (Sisson et al., 2003b)",1410,66.57,179,20,8.95
91AHa12,"Wernicke (Sisson et al., 2003b)",1410,66.85,228,28,8.142857143
91AHa2,"Wernicke (Harris et al., 1996)",1410,68.74,345,20,17.25
94ASn52,"Van Cleve (Sisoon et al., 2003b)",1410,69,359,11,32.63636364
94APO47,"Van Cleve (Sisoon et al., 2003b)",1410,69.4,149,24.1,6.182572614
94APo44a,"Van Cleve (Sisoon et al., 2003b)",1410,69.96,121,23,5.260869565
94APo40,"Van Cleve (Sisoon et al., 2003b)",1410,71.33,142,10,14.2
91AHa14C,"Wernicke (Sisson et al., 2003b)",1410,71.69,223,22,10.13636364
94APo39,"Van Cleve (Sisoon et al., 2003b)",1410,71.91,150,12,12.5
94APO36,"Van Cleve (Sisoon et al., 2003b)",1410,74.26,224,13.9,16.11510791
91AHa12,"Wernicke (Harris et al., 1996)",1410,,228,,
91ASn93,"Goat Wallow (Sisson et al., 2003b)",1480,60.18,214,18,11.88888889
89ASn62C,"Bunch Lake (Sisson et al., 2003b)",1480,70,310,16,19.375
89ASn52A,"Ross Green Lake (Harris et al., 1996)",1480,,494,,
89ASn71A,"Bunch Lake (Harris et al., 1996)",1480,,429,,
89ASn72A,"Bunch Lake (Harris et al., 1996)",1480,,483,,
89ASn77A,"Bunch Lake (Harris et al., 1996)",1480,,164,,
91AHa31,"Tana (Sisson et al., 2003b)",1490,58.38,409,36,11.36111111
91ASn72b,"Tana (Sisson et al., 2003b)",1490,63.65,297,10,29.7
91ASn83,"Tana (Sisson et al., 2003b)",1490,64.22,277,10,27.7
91AHa27,"Tana (Sisson et al., 2003b)",1490,66,294,8,36.75
91AHa50,"Tana (Sisson et al., 2003b)",1490,67.66,186,34,5.470588235
91ASn64,"Tana (Sisson et al., 2003b)",1490,67.68,417,10,41.7
91AHa26,"Tana (Sisson et al., 2003b)",1490,67.75,327,4,81.75
91AHa42,"Tana (Sisson et al., 2003b)",1490,68.26,219,28,7.821428571
91ASn63,"Tana (Sisson et al., 2003b)",1490,68.96,315,12,26.25
91AHa32,"Tana (Sisson et al., 2003b)",1490,69.03,102,10,10.2
91ASn61B,"Tana (Sisson et al., 2003b)",1490,70.52,339,24,14.125
