zircon_sample,rock_sample,formation,location,age_Ma_plutons,age_Ma_plutons_error,age_Ma_seds,e_Hf_50Ma,e_Hf_50Ma_error
RB12-02-80,RB12-02,Orca group,Seward,56.44146064,1.820786026,72,1.497995849,1.111566855
RB12-02-27,RB12-02,Orca group,Seward,56.44146064,1.820786026,74,5.519212884,1.046388857
RB12-02-18,RB12-02,Orca group,Seward,56.44146064,1.820786026,76,-1.04654728,1.321752818
RB12-04-53,RB12-04,Orca group,Seward,56.44146064,1.820786026,65,0.487415836,1.008160362
RB12-04-26,RB12-04,Orca group,Seward,56.44146064,1.820786026,70,4.320968862,0.962598553
RB12-04-06,RB12-04,Orca group,Seward,56.44146064,1.820786026,70,-1.908933421,1.329638755
RB12-04-78,RB12-04,Orca group,Seward,56.44146064,1.820786026,71,2.024908229,1.084953929
RB12-04-25,RB12-04,Orca group,Seward,56.44146064,1.820786026,73,5.974194628,1.008481574
RB12-04-52,RB12-04,Orca group,Seward,56.44146064,1.820786026,73,5.360516829,1.418605437
RB12-04-07,RB12-04,Orca group,Seward,56.44146064,1.820786026,73,-7.390324416,1.080963212
RB12-04-28,RB12-04,Orca group,Seward,56.44146064,1.820786026,74,-1.695523228,1.414993177
RB12-04-02,RB12-04,Orca group,Seward,56.44146064,1.820786026,74,3.67380024,1.184616318
RB12-04-33,RB12-04,Orca group,Seward,56.44146064,1.820786026,82,8.698703568,0.956316155
RB14-04-398,RB14-04,Orca group,Seward,56.44146064,1.820786026,61,1.876248247,0.919391392
RB14-04-176,RB14-04,Orca group,Seward,56.44146064,1.820786026,62,5.492107561,1.064681243
RB14-04-193,RB14-04,Orca group,Seward,56.44146064,1.820786026,64,2.880998622,0.900410697
RB14-04-297,RB14-04,Orca group,Seward,56.44146064,1.820786026,66,3.732490716,0.94363066
RB14-04-308,RB14-04,Orca group,Seward,56.44146064,1.820786026,66,6.763562443,1.346587972
RB14-04-354,RB14-04,Orca group,Seward,56.44146064,1.820786026,66,5.552543413,0.838158031
RB14-04-373,RB14-04,Orca group,Seward,56.44146064,1.820786026,66,5.14359172,1.000374103
RB14-04-332,RB14-04,Orca group,Seward,56.44146064,1.820786026,68,3.780482861,0.835417966
RB14-04-419,RB14-04,Orca group,Seward,56.44146064,1.820786026,69,2.875901465,0.899447219
RB14-04-203,RB14-04,Orca group,Seward,56.44146064,1.820786026,70,7.041845513,1.080615499
RB14-04-320,RB14-04,Orca group,Seward,56.44146064,1.820786026,102,-3.466007653,1.103834124
RB14-04-129,RB14-04,Orca group,Seward,56.44146064,1.820786026,105,-5.279598031,0.929375043
RB14-04-269,RB14-04,Orca group,Seward,56.44146064,1.820786026,106,-5.58421456,1.190072282
RB14-04-230,RB14-04,Orca group,Seward,56.44146064,1.820786026,107,-4.610167351,1.859073001
RB14-04-231,RB14-04,Orca group,Seward,56.44146064,1.820786026,107,-8.557685893,1.315916972
RB14-04-299,RB14-04,Orca group,Seward,56.44146064,1.820786026,108,-7.037262204,0.921041536
RB14-04-264,RB14-04,Orca group,Seward,56.44146064,1.820786026,109,-6.663390706,0.963983464
RB14-04-397,RB14-04,Orca group,Seward,56.44146064,1.820786026,109,-6.197260659,0.858529451
RB14-04-358,RB14-04,Orca group,Seward,56.44146064,1.820786026,111,-8.812061537,1.017651028
RB14-04-302,RB14-04,Orca group,Seward,56.44146064,1.820786026,120,-6.264203588,1.097179671
RB14-06-316,RB14-06,Valdez group,Seward,56.44146064,1.820786026,74.8,6.354648065,1.068237681
RB14-06-356,RB14-06,Valdez group,Seward,56.44146064,1.820786026,74.8,8.298393441,2.029251079
RB14-06-170,RB14-06,Valdez group,Seward,56.44146064,1.820786026,74.8,7.497511607,1.386889765
RB14-06-217,RB14-06,Valdez group,Seward,56.44146064,1.820786026,74.9,6.915954016,1.10542545
RB14-06-396,RB14-06,Valdez group,Seward,56.44146064,1.820786026,74.9,6.361991988,1.451708877
RB14-06-375,RB14-06,Valdez group,Seward,56.44146064,1.820786026,75,6.860054423,0.908831714
RB14-06-131,RB14-06,Valdez group,Seward,56.44146064,1.820786026,75,7.844490762,1.220239492
RB14-06-162,RB14-06,Valdez group,Seward,56.44146064,1.820786026,75,8.449025871,1.265571116
RB14-06-346,RB14-06,Valdez group,Seward,56.44146064,1.820786026,75.3,9.701014896,1.568846663
RB14-06-370,RB14-06,Valdez group,Seward,56.44146064,1.820786026,75.4,10.94925628,1.014743808
RB14-06-268,RB14-06,Valdez group,Seward,56.44146064,1.820786026,87.5,9.103682585,0.974873159
RB14-06-127,RB14-06,Valdez group,Seward,56.44146064,1.820786026,137.7,10.56703551,1.189178555
RB14-06-289,RB14-06,Valdez group,Seward,56.44146064,1.820786026,137.8,11.58031911,0.939808578
